Organism	g00	KO	Function
mluteus16	g003732	K07736	Transcriptional regulator
mluteus16	g002678		Domain of unknown function (DUF1794)
mluteus16	g001292		
mluteus16	g001717		general stress protein
mluteus16	g002906	K00794	"Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate. This is the penultimate step in the biosynthesis of riboflavin (By similarity)"
mluteus16	g001450	K07979	GntR family transcriptional regulator
mluteus16	g000149		secreted protein
mluteus16	g000650	K00230	Inherit from bactNOG: flavodoxin-like protein
mluteus16	g000694	K01113	alkaline phosphatase
mluteus16	g000653	K07228	domain-containing protein
mluteus16	g000522	K00242	succinate dehydrogenase
mluteus16	g002790		#NAME?
mluteus16	g001714		
mluteus16	g001527	K13993	heat shock protein
mluteus16	g003173		RES domain
mluteus16	g003588		Polyketide cyclase / dehydrase and lipid transport
mluteus16	g001171		
mluteus16	g001415		
mluteus16	g002061	K02503	HIT domain
mluteus16	g000286	K03574	Nudix hydrolase
mluteus16	g001644		transcriptional regulator
mluteus16	g003136		Membrane protein implicated in regulation of membrane protease activity
mluteus16	g001290	K01104	protein tyrosine phosphatase
mluteus16	g001290	K01104	protein tyrosine phosphatase
mluteus16	g001345		Nudix hydrolase
mluteus16	g003966		MarR family transcriptional regulator
mluteus16	g002487	K13771	Transcriptional regulator
mluteus16	g000671		AsnC family transcriptional regulator
mluteus16	g000168	K01808	Ribose 5-phosphate isomerase
mluteus16	g002177	K00954	"Reversibly transfers an adenylyl group from ATP to 4'- phosphopantetheine, yielding dephospho-CoA (dPCoA) and pyrophosphate (By similarity)"
mluteus16	g003226	K07042	Single strand-specific metallo-endoribonuclease involved in late-stage 70S ribosome quality control and in maturation of the 3' terminus of the 16S rRNA (By similarity)
mluteus16	g000634		asnc family transcriptional regulator
mluteus16	g003284		Integrase
mluteus16	g003310		
mluteus16	g001880	K02992	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the head domain of the 30S subunit. Is located at the subunit interface close to the decoding center, probably blocks exit of the E-site tRNA (By similarity)"
mluteus16	g002020	K03647	Probably involved in ribonucleotide reductase function (By similarity)
mluteus16	g003080	"K03574,K06966"	Nudix hydrolase
mluteus16	g000154	K02959	30s ribosomal protein s16
mluteus16	g001073	K03101	This protein specifically catalyzes the removal of signal peptides from prolipoproteins (By similarity)
mluteus16	g002377	"K00266,K00528"	reductase
mluteus16	g002161	K01113	alkaline phosphatase
mluteus16	g001928	K00982	Adenylation and deadenylation of glutamate--ammonia ligase (By similarity)
mluteus16	g002698		
mluteus16	g002829		Protein of unknown function (DUF3099)
mluteus16	g000941		Protein of unknown function (DUF1469)
mluteus16	g003641	K03210	Preprotein translocase YajC subunit
mluteus16	g001879		
mluteus16	g000215		DNA-(Apurinic or apyrimidinic site) lyase
mluteus16	g000354		Nudix hydrolase
mluteus16	g000825	K01104	protein tyrosine phosphatase
mluteus16	g002479		Protein of unknown function (DUF1275)
mluteus16	g001226		
mluteus16	g002464		
mluteus16	g002407	K02073	(Lipo)protein
mluteus16	g001941	"K00620,K03328"	"Catalyzes two activities which are involved in the cyclic version of arginine biosynthesis the synthesis of N- acetylglutamate from glutamate and acetyl-CoA as the acetyl donor, and of ornithine by transacetylation between N(2)-acetylornithine and glutamate (By similarity)"
mluteus16	g002571		Acetyltransferase (GNAT) family
mluteus16	g001286		Protein of unknown function (DUF2637)
mluteus16	g002948		Membrane
mluteus16	g002040	K02939	Binds to the 23S rRNA (By similarity)
mluteus16	g000975	K06886	K06886 hemoglobin
mluteus16	g001116	K13993	heat shock protein
mluteus16	g001920	"K00567,K07443"	methylated-DNA-(protein)-cysteine S-methyltransferase DNA binding
mluteus16	g000565	K03719	AsnC family transcriptional regulator
mluteus16	g000231	K03210	Preprotein translocase YajC subunit
mluteus16	g002793		Protein of unknown function (DUF2809)
mluteus16	g003287	K13771	Transcriptional regulator
mluteus16	g002081	K00783	Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA (By similarity)
mluteus16	g003769	K02426	Fe-s metabolism associated sufe
mluteus16	g003626		Pfam:DUF1994
mluteus16	g000829	K07497	Transposase
mluteus16	g002384	K01915	glutamine synthetase
mluteus16	g000966	K15034	class I peptide chain release factor
mluteus16	g000600	K07107	Thioesterase
mluteus16	g002677	K15034	class I peptide chain release factor
mluteus16	g003378	"K00340,K05560,K05567"	Monovalent cation H antiporter subunit C
mluteus16	g000679	K02876	Binds to the 23S rRNA (By similarity)
mluteus16	g002897	"K03625,K19092"	Involved in the transcription termination process (By similarity)
mluteus16	g002754		thioesterase Superfamily protein
mluteus16	g000018	"K00384,K03671,K03672"	K03672 thioredoxin 2 EC 1.8.1.8
mluteus16	g002901	K07560	Hydrolyzes D-tyrosyl-tRNA(Tyr) into D-tyrosine and free tRNA(Tyr). Could be a defense mechanism against a harmful effect of D-tyrosine (By similarity)
mluteus16	g002635	K07560	Hydrolyzes D-tyrosyl-tRNA(Tyr) into D-tyrosine and free tRNA(Tyr). Could be a defense mechanism against a harmful effect of D-tyrosine (By similarity)
mluteus16	g003468	"K00457,K03786"	Catalyzes a trans-dehydration via an enolate intermediate (By similarity)
mluteus16	g002249	K07560	Hydrolyzes D-tyrosyl-tRNA(Tyr) into D-tyrosine and free tRNA(Tyr). Could be a defense mechanism against a harmful effect of D-tyrosine (By similarity)
mluteus16	g003642	K07560	Hydrolyzes D-tyrosyl-tRNA(Tyr) into D-tyrosine and free tRNA(Tyr). Could be a defense mechanism against a harmful effect of D-tyrosine (By similarity)
mluteus16	g002604		Domain of unknown function (DUF1931)
mluteus16	g001363		Tet-R family transcriptional regulator
mluteus16	g003403	K02834	Associates with free 30S ribosomal subunits (but not with 30S subunits that are part of 70S ribosomes or polysomes). Essential for efficient processing of 16S rRNA. May interact with the 5'-terminal helix region of 16S rRNA (By similarity)
mluteus16	g000758	K07560	Hydrolyzes D-tyrosyl-tRNA(Tyr) into D-tyrosine and free tRNA(Tyr). Could be a defense mechanism against a harmful effect of D-tyrosine (By similarity)
mluteus16	g002144	K00773	"Exchanges the guanine residue with 7-aminomethyl-7- deazaguanine in tRNAs with GU(N) anticodons (tRNA-Asp, -Asn, -His and -Tyr). After this exchange, a cyclopentendiol moiety is attached to the 7-aminomethyl group of 7-deazaguanine, resulting in the hypermodified nucleoside queuosine (Q) (7-(((4,5-cis- dihydroxy-2-cyclopenten-1-yl)amino)methyl)-7-deazaguanosine) (By similarity)"
mluteus16	g000896		UPF0336 protein
mluteus16	g000253		
mluteus16	g001297		
mluteus16	g004150		TadE family
mluteus16	g003710		TadE family
mluteus16	g003356		
mluteus16	g002935	K07107	Thioesterase
mluteus16	g001481	K07005	pyridoxamine 5-phosphate
mluteus16	g000651		Transcriptional regulator
mluteus16	g002563	K03711	"uptake regulator, Fur family"
mluteus16	g002426		single-stranded DNA-binding protein
mluteus16	g002471	K09858	UPF0225 protein
mluteus16	g004151		
mluteus16	g001328	K02959	30s ribosomal protein s16
mluteus16	g003726		MarR family Transcriptional regulator
mluteus16	g002176	"K01262,K01271"	aminopeptidase p
mluteus16	g003000	K02871	"This protein is one of the early assembly proteins of the 50S ribosomal subunit, although it is not seen to bind rRNA by itself. It is important during the early stages of 50S assembly (By similarity)"
mluteus16	g001223		Protein of unknown function (DUF3151)
mluteus16	g003391		peptidase C60 sortase A and B
mluteus16	g003841		
mluteus16	g000895	K00001	Dehydrogenase
mluteus16	g000895	K00001	Dehydrogenase
mluteus16	g003467	"K00384,K03671,K03672"	Thioredoxin
mluteus16	g002556		Transcriptional regulator
mluteus16	g002824	K02614	thioesterase Superfamily protein
mluteus16	g003644	K03060	Promotes RNA polymerase assembly. Latches the N- and C- terminal regions of the beta' subunit thereby facilitating its interaction with the beta and alpha subunits (By similarity)
mluteus16	g003305		Integrase
mluteus16	g001869		glycosyl transferase group 1
mluteus16	g002537		Relaxase/Mobilisation nuclease domain
mluteus16	g000629	K01579	Catalyzes the pyruvoyl-dependent decarboxylation of aspartate to produce beta-alanine (By similarity)
mluteus16	g003521	K09959	Protein of unknown function (DUF779)
mluteus16	g003659		Transcriptional regulator
mluteus16	g003219	K03210	Preprotein translocase YajC subunit
mluteus16	g001676		
mluteus16	g003924	"K01429,K14048"	Urea amidohydrolase subunit beta
mluteus16	g002611	K05569	antiporter
mluteus16	g002543	K07492	Transposase
mluteus16	g002210		integrase family
mluteus16	g002145	K06920	Catalyzes the ATP-dependent conversion of 7-carboxy-7- deazaguanine (CDG) to 7-cyano-7-deazaguanine (preQ(0)) (By similarity)
mluteus16	g001093		Protein of unknown function (DUF3052)
mluteus16	g000197	"K00340,K05560,K05567"	Monovalent cation H antiporter subunit C
mluteus16	g003005		integral membrane protein
mluteus16	g001797	"K00758,K01489"	cytidine deaminase
mluteus16	g002763		MarR family transcriptional regulator
mluteus16	g001106	K03210	Preprotein translocase YajC subunit
mluteus16	g002134	K03925	Cell division protein mraZ
mluteus16	g000302	K02867	This protein binds directly to 23S ribosomal RNA (By similarity)
mluteus16	g002243		NLP P60 protein
mluteus16	g003120		
mluteus16	g003811	K02503	Histidine triad (HIT) protein
mluteus16	g002757	K18701	arsenate reductase
mluteus16	g002265	"K03711,K09825"	"Ferric uptake regulator, Fur family"
mluteus16	g003806		TadE-like protein
mluteus16	g002947		organic hydroperoxide resistance protein
mluteus16	g002313	K18701	arsenate reductase
mluteus16	g001126		fha domain-containing protein
mluteus16	g001966	K09710	"Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation (By similarity)"
mluteus16	g001635	"K01055,K01607,K14727"	4-carboxymuconolactone decarboxylase
mluteus16	g003944		Membrane
mluteus16	g002198		
mluteus16	g003875	K03282	Channel that opens in response to stretch forces in the membrane lipid bilayer. May participate in the regulation of osmotic pressure changes within the cell (By similarity)
mluteus16	g002130		
mluteus16	g003237	K00940	"Major role in the synthesis of nucleoside triphosphates other than ATP. The ATP gamma phosphate is transferred to the NDP beta phosphate via a ping-pong mechanism, using a phosphorylated active-site intermediate (By similarity)"
mluteus16	g003930	K02503	Histidine triad (HIT) protein
mluteus16	g001221		
mluteus16	g003790	K01990	"abc transporter, atp-binding protein"
mluteus16	g002666		Transposase
mluteus16	g002967		organic hydroperoxide resistance protein
mluteus16	g000527	K00389	Membrane
mluteus16	g003985	K09940	
mluteus16	g001331	K07460	UPF0102 protein
mluteus16	g003963		transcriptional regulator
mluteus16	g001630	K06867	ankyrin repeat-containing protein
mluteus16	g001863		Membrane
mluteus16	g002388		
mluteus16	g002394	"K00446,K10621"	"3,4-dihydroxyphenylacetate 2,3-dioxygenase"
mluteus16	g002752	K02614	phenylacetic acid degradation protein
mluteus16	g002624		conserved TRANSMEMBRANE PROTEIN
mluteus16	g000677	K02878	Binds 23S rRNA and is also seen to make contacts with the A and possibly P site tRNAs (By similarity)
mluteus16	g003711		
mluteus16	g002116	K06867	ankyrin repeat-containing protein
mluteus16	g004114		conserved TRANSMEMBRANE PROTEIN
mluteus16	g002139	"K01835,K01840,K03431,K15778"	phosphomannomutase
mluteus16	g004149		TadE family
mluteus16	g002140	K03673	
mluteus16	g001100		
mluteus16	g001335		Membrane
mluteus16	g000348		glyoxalase bleomycin resistance protein dioxygenase
mluteus16	g002955		
mluteus16	g003510		glycosyltransferase
mluteus16	g002962	K07492	transposase
mluteus16	g000846	"K01759,K07032"	glyoxalase bleomycin resistance protein dioxygenase
mluteus16	g003460		Membrane
mluteus16	g002386		insertion element IS1121 transposase
mluteus16	g002719		"Inherit from COG: 4Fe-4S ferredoxin, iron-sulfur binding"
mluteus16	g003534		"Inherit from COG: 4Fe-4S ferredoxin, iron-sulfur binding"
mluteus16	g000333		
mluteus16	g001222	K06400	Resolvase domain protein
mluteus16	g002971	K00301	fad dependent oxidoreductase
mluteus16	g003544	K06199	CrcB-like protein
mluteus16	g003709		TadE family
mluteus16	g004127		glyoxalase bleomycin resistance protein dioxygenase
mluteus16	g000831		FHA domaincontaining protein
mluteus16	g000162		
mluteus16	g002654		zinc finger CHY domain protein
mluteus16	g004001	K05571	"monovalent cation proton antiporter, MnhG PhaG subunit"
mluteus16	g003256		Protein of unknown function (DUF3499)
mluteus16	g002789		
mluteus16	g001023	K06867	ankyrin repeat-containing protein
mluteus16	g002389	K07335	basic membrane
mluteus16	g000296	K02948	"Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome (By similarity)"
mluteus16	g000668		
mluteus16	g002348	K00973	"Catalyzes the formation of dTDP-glucose, from dTTP and glucose 1-phosphate, as well as its pyrophosphorolysis (By similarity)"
mluteus16	g002088		conserved TRANSMEMBRANE PROTEIN
mluteus16	g003030		
mluteus16	g003730	K11741	multidrug resistance protein
mluteus16	g000926		
mluteus16	g001773		"Part of cytochrome c oxidase, its function is"
mluteus16	g000434		"Part of cytochrome c oxidase, its function is"
mluteus16	g002006		"Part of cytochrome c oxidase, its function is"
mluteus16	g001735	K03536	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)
mluteus16	g002291		Acyltransferase
mluteus16	g000503	K01092	Inositol monophosphatase
mluteus16	g001425	K07458	DNA mismatch endonuclease
mluteus16	g000298	K02994	"One of the primary rRNA binding proteins, it binds directly to 16S rRNA central domain where it helps coordinate assembly of the platform of the 30S subunit (By similarity)"
mluteus16	g001878	K02501	"IGPS catalyzes the conversion of PRFAR and glutamine to IGP, AICAR and glutamate. The HisH subunit provides the glutamine amidotransferase activity that produces the ammonia necessary to HisF for the synthesis of IGP and AICAR (By similarity)"
mluteus16	g000246		transcriptional regulatory protein
mluteus16	g004030	K03536	RNaseP catalyzes the removal of the 5'-leader sequence from pre-tRNA to produce the mature 5'-terminus. It can also cleave other RNA substrates such as 4.5S RNA. The protein component plays an auxiliary but essential role in vivo by binding to the 5'-leader sequence and broadening the substrate specificity of the ribozyme (By similarity)
mluteus16	g002290	K00130	Aldehyde dehydrogenase
mluteus16	g003197		Sulfatase-modifying factor enzyme 1
mluteus16	g001083		
mluteus16	g000510	K07497	Integrase
mluteus16	g002396	K09903	Catalyzes the reversible phosphorylation of UMP to UDP (By similarity)
mluteus16	g001259		Possibl zinc metallo-peptidase
mluteus16	g002197	K08191	Major Facilitator Superfamily
mluteus16	g002105	"K01802,K03772"	Peptidyl-prolyl cis-trans isomerase
mluteus16	g003724	K07492	Transposase
mluteus16	g000624		
mluteus16	g001944	K01996	ABc transporter ATP-binding protein
mluteus16	g000401		
mluteus16	g002626	K13628	Iron-sulfur cluster assembly accessory protein
mluteus16	g001980		
mluteus16	g000882		conserved transmembrane protein
mluteus16	g002413	"K01992,K09692"	abc transporter
mluteus16	g000493	K07492	Transposase
mluteus16	g000259	K04092	Chorismate mutase
mluteus16	g000120		
mluteus16	g003465		c50 carotenoid epsilon cyclase
mluteus16	g000501		Transcriptional regulator
mluteus16	g002365	K09384	Uncharacterized conserved protein (DUF2075)
mluteus16	g003448		"transcriptional regulator, MerR family"
mluteus16	g002701	K02935	Seems to be the binding site for several of the factors involved in protein synthesis and appears to be essential for accurate translation (By similarity)
mluteus16	g002270		Conserved protein
mluteus16	g003050		Transcriptional regulator
mluteus16	g003764	K08987	Membrane
mluteus16	g002960		Protein of unknown function (DUF3040)
mluteus16	g003073	K02437	The glycine cleavage system catalyzes the degradation of glycine. The H protein shuttles the methylamine group of glycine from the P protein to the T protein (By similarity)
mluteus16	g001307	K02887	Binds directly to 23S ribosomal RNA and is necessary for the in vitro assembly process of the 50S ribosomal subunit. It is not involved in the protein synthesizing functions of that subunit (By similarity)
mluteus16	g003948		
mluteus16	g001264	K03892	"Transcriptional regulator, arsR family"
mluteus16	g000571	K07492	transposase
mluteus16	g002149		
mluteus16	g003989	K07492	transposase
mluteus16	g000572		Inherit from COG: transposase
mluteus16	g002003	K07492	transposase
mluteus16	g000068	K03704	Cold shock protein
mluteus16	g001163		MmcQ-like protein
mluteus16	g001406		Inherit from COG: transposase
mluteus16	g001405	K07492	Transposase
mluteus16	g001608		Inherit from COG: transposase
mluteus16	g002239		P-loop Domain of unknown function (DUF2791)
mluteus16	g001891	"K03719,K05800"	Transcriptional regulator
mluteus16	g001180		phosphatidylinositol 3-and 4-kinase
mluteus16	g003689	K07497	insertion element ISCmi2 transposase
mluteus16	g003716	K07497	insertion element ISCmi2 transposase
mluteus16	g002326	K07979	GntR family transcriptional regulator
mluteus16	g003895	"K01633,K18926"	dihydroneopterin aldolase
mluteus16	g002542		
mluteus16	g002985	K00997	Transfers the 4'-phosphopantetheine moiety from coenzyme A to a Ser of acyl-carrier-protein (By similarity)
mluteus16	g000961	"K01496,K11755"	phosphoribosyl-amp cyclohydrolase
mluteus16	g000613		Conserved protein
mluteus16	g002859		Acyltransferase
mluteus16	g001513	K05569	antiporter
mluteus16	g003660		
mluteus16	g000827		Polyketide cyclase / dehydrase and lipid transport
mluteus16	g000034		Domain of unknown function DUF77
mluteus16	g000199	K05571	"monovalent cation proton antiporter, MnhG PhaG subunit"
mluteus16	g001315	"K05522,K10563"	glycosylase
mluteus16	g003212	K03892	"Transcriptional regulator, arsR family"
mluteus16	g001512	K05571	"monovalent cation proton antiporter, MnhG PhaG subunit"
mluteus16	g002410		
mluteus16	g001605		Peptidoglycan-binding LysM
mluteus16	g001257	K03892	"Transcriptional regulator, arsR family"
mluteus16	g000899	K02950	"Interacts with and stabilizes bases of the 16S rRNA that are involved in tRNA selection in the A site and with the mRNA backbone. Located at the interface of the 30S and 50S subunits, it traverses the body of the 30S subunit contacting proteins on the other side and probably holding the rRNA structure together. The combined cluster of proteins S8, S12 and S17 appears to hold together the shoulder and platform of the 30S subunit (By similarity)"
mluteus16	g002425	K06400	Resolvase domain protein
mluteus16	g000297	K02881	"This is one of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance (By similarity)"
mluteus16	g001486		integral membrane protein
mluteus16	g001924	"K01990,K07487"	Transposase
mluteus16	g000118		Transposase
mluteus16	g002279		Peptidoglycan-binding LysM
mluteus16	g002193		
mluteus16	g002164	K00930	NAG kinase
mluteus16	g003667		phosphatidylinositol 3-and 4-kinase
mluteus16	g003851		phosphatidylinositol 3-and 4-kinase
mluteus16	g002617		
mluteus16	g003044	K06720	"Catalyzes the circularization of gamma-N-acetyl- alpha,gamma-diaminobutyric acid (ADABA) to ectoine (1,4,5,6- tetrahydro-2-methyl-4-pyrimidine carboxylic acid), which is an excellent osmoprotectant (By similarity)"
mluteus16	g002683		
mluteus16	g003543	K06199	CrcB-like protein
mluteus16	g003949		Cadmium resistance transporter
mluteus16	g000038		
mluteus16	g000487		integral membrane protein
mluteus16	g003982	K04762	heat shock protein
mluteus16	g001931	K00761	Catalyzes the conversion of uracil and 5-phospho-alpha- D-ribose 1-diphosphate (PRPP) to UMP and diphosphate (By similarity)
mluteus16	g004029	K08998	Could be involved in insertion of integral membrane proteins into the membrane (By similarity)
mluteus16	g003563		Transcriptional regulator
mluteus16	g004050		
mluteus16	g000901	K02874	Binds to 23S rRNA. Forms part of two intersubunit bridges in the 70S ribosome (By similarity)
mluteus16	g000902	K02952	"Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits"
mluteus16	g001526		arsR family transcriptional regulator
mluteus16	g001736	K08998	Could be involved in insertion of integral membrane proteins into the membrane (By similarity)
mluteus16	g001370	K02890	"The globular domain of the protein is located near the polypeptide exit tunnel on the outside of the subunit, while an extended beta-hairpin is found that lines the wall of the exit tunnel in the center of the 70S ribosome (By similarity)"
mluteus16	g001472		acetyltransferase
mluteus16	g001535		
mluteus16	g004123		glyoxalase
mluteus16	g002802		insertion element IS1121 transposase
mluteus16	g003172		
mluteus16	g000622	K03892	arsR family transcriptional regulator
mluteus16	g002391	"K03890,K15878"	"c reductase, iron-sulfur"
mluteus16	g001753	K06518	lrga family
mluteus16	g001437	K06891	Involved in the modulation of the specificity of the ClpAP-mediated ATP-dependent protein degradation (By similarity)
mluteus16	g003334		merr family transcriptional regulator
mluteus16	g000530	K06975	Inherit from COG: acetyltransferase
mluteus16	g003737	K06975	Inherit from COG: acetyltransferase
mluteus16	g000848	K06975	Inherit from COG: acetyltransferase
mluteus16	g003535		nlp p60 protein
mluteus16	g002205	K06975	Inherit from COG: acetyltransferase
mluteus16	g002397	K07497	Transposase
mluteus16	g002027	"K01032,K01857"	"3-carboxy-cis,cis-muconate cycloisomerase"
mluteus16	g001268	K03892	"Transcriptional regulator, arsr family"
mluteus16	g002175	K02416	"FliM is one of three proteins (FliG, FliN, FliM) that forms the rotor-mounted switch complex (C ring), located at the base of the basal body. This complex interacts with the CheY and CheZ chemotaxis proteins, in addition to contacting components of the motor that determine the direction of flagellar rotation (By similarity)"
mluteus16	g002890		
mluteus16	g000621		arsR family transcriptional regulator
mluteus16	g001929	"K00266,K00528"	reductase
mluteus16	g000382		
mluteus16	g001790		arsR family transcriptional regulator
mluteus16	g001474	K06975	Inherit from COG: acetyltransferase
mluteus16	g003950		arsR family transcriptional regulator
mluteus16	g003475		arsR family transcriptional regulator
mluteus16	g003661		"Transcriptional regulator, MarR family"
mluteus16	g003648		
mluteus16	g001343		arsR family transcriptional regulator
mluteus16	g002951		c50 carotenoid epsilon cyclase
mluteus16	g004075	K06975	#NAME?
mluteus16	g003605		
mluteus16	g002221		DNA-binding protein
mluteus16	g002158	K07102	Aminoglycoside phosphotransferase
mluteus16	g001329	K02884	This protein is located at the 30S-50S ribosomal subunit interface and may play a role in the structure and function of the aminoacyl-tRNA binding site (By similarity)
mluteus16	g002341		replicase
mluteus16	g002422	K07454	
mluteus16	g003575		Conserved protein
mluteus16	g002442		Universal stress protein
mluteus16	g001875	K05936	precorrin-4 C(11)-methyltransferase
mluteus16	g002138	"K17758,K17759"	YjeF-related protein N-terminus
mluteus16	g004112		
mluteus16	g003263	"K04751,K04752"	nitrogen regulatory protein PII
mluteus16	g004053		
mluteus16	g003143		"Transcriptional repressor, CopY family"
mluteus16	g000595		
mluteus16	g002889		Protein of unknown function (DUF3039)
mluteus16	g002103		amino acid
mluteus16	g003102	K07483	transposase IS3 IS911
mluteus16	g000013	K07497	Transposase
mluteus16	g002155		Protein of unknown function (DUF3263)
mluteus16	g002910	K03297	multidrug resistance protein
mluteus16	g001371	K02895	One of the proteins that surrounds the polypeptide exit tunnel on the outside of the subunit (By similarity)
mluteus16	g001340		
mluteus16	g002406		Inherit from bactNOG: exported protein
mluteus16	g002435		
mluteus16	g000887		Alpha beta hydrolase fold
mluteus16	g003938		Integrase
mluteus16	g002344		insertion element IS1121 transposase
mluteus16	g000950		conserved domain protein
mluteus16	g002429		integral membrane protein
mluteus16	g000655	K05570	Multiple resistance and pH regulation protein F
mluteus16	g002256		
mluteus16	g000092		exopolysaccharide biosynthesis polyprenyl glycosylphosphotransferase (EC 2.7.8.6)
mluteus16	g002414		Abi-like protein
mluteus16	g002595		membrane
mluteus16	g002372		Acyltransferase family
mluteus16	g004021	K00241	succinate dehydrogenase (cytochrome b-556 subunit)
mluteus16	g003861		membrane
mluteus16	g001101		Integrase
mluteus16	g002961	K07492	Transposase
mluteus16	g003206		arsR family transcriptional regulator
mluteus16	g003242		Integrase
mluteus16	g000835	K07483	transposase IS3 IS911
mluteus16	g001597		Protein of unknown function (DUF3024)
mluteus16	g001746	K07483	"transposase, IS3 IS911 family protein"
mluteus16	g003199	K03892	"Transcriptional regulator, arsr family"
mluteus16	g001795		arsR family transcriptional regulator
mluteus16	g001052	K05710	rieske (2Fe-2S)
mluteus16	g003191		type iii restriction
mluteus16	g003099		heavy metal transport detoxification protein
mluteus16	g003351	K03297	multidrug resistance protein
mluteus16	g004038	K01534	p-type ATPase
mluteus16	g000697	K05524	ferredoxin
mluteus16	g000208		metal-sulfur cluster biosynthetic
mluteus16	g000452		
mluteus16	g000562		rhodanese domain-containing protein
mluteus16	g002761	K07497	Transposase
mluteus16	g001151	K07497	Transposase
mluteus16	g003612		Methyltransferase
mluteus16	g002376		insertion element IS1121 transposase
mluteus16	g002593	K06886	K06886 hemoglobin
mluteus16	g003853		
mluteus16	g002480		
mluteus16	g000050		Antibiotic biosynthesis monooxygenase
mluteus16	g001738	K03671	Thioredoxin
mluteus16	g003011		MazG nucleotide pyrophosphohydrolase
mluteus16	g002215		MazG nucleotide pyrophosphohydrolase
mluteus16	g002236		Protein of unknown function (DUF2469)
mluteus16	g002333	K05810	Multi-copper polyphenol oxidoreductase laccase
mluteus16	g002262	K01654	synthase
mluteus16	g003717	K07483	Pfam:Transposase_8
mluteus16	g003729	K11741	Small Multidrug Resistance protein
mluteus16	g001692	K03464	muconolactone delta-isomerase
mluteus16	g002356	K07483	transposase IS3 IS911 family protein
mluteus16	g001995		Antibiotic biosynthesis monooxygenase
mluteus16	g000539	"K01430,K14048"	Urea amidohydrolase subunit gamma
mluteus16	g001038		Antibiotic biosynthesis monooxygenase
mluteus16	g002174	K01246	3-methyladenine DNA glycosylase
mluteus16	g000756		integration host factor
mluteus16	g001360	K07483	Pfam:Transposase_8
mluteus16	g001909	K03892	Transcriptional regulator
mluteus16	g001807	K07483	Pfam:Transposase_8
mluteus16	g002385		"Transcriptional regulator, tetR family"
mluteus16	g002912		
mluteus16	g000475	K01534	heavy metal translocating p-type ATPase
mluteus16	g002109	K02003	(ABC) transporter
mluteus16	g004057		
mluteus16	g001400	K07492	Transposase
mluteus16	g002232	K07483	Transposase
mluteus16	g000017		
mluteus16	g002283		activator of Hsp90 ATPase 1 family protein
mluteus16	g002226		Protein of unknown function (DUF2516)
mluteus16	g000012		
mluteus16	g003871	K02946	Involved in the binding of tRNA to the ribosomes (By similarity)
mluteus16	g002141	K16053	Mechanosensitive ion channel
mluteus16	g003304	K07483	transposase IS3 IS911 family protein
mluteus16	g002408	"K06158,K18230,K18231,K19349"	ABC transporter
mluteus16	g001930		transcriptional regulator
mluteus16	g001369	K02892	One of the early assembly proteins it binds 23S rRNA. One of the proteins that surrounds the polypeptide exit tunnel on the outside of the ribosome. Forms the main docking site for trigger factor binding to the ribosome (By similarity)
mluteus16	g002603	K06975	
mluteus16	g000327	K02954	"Binds 16S rRNA, required for the assembly of 30S particles and may also be responsible for determining the conformation of the 16S rRNA at the A site (By similarity)"
mluteus16	g002553		Transcriptional regulator
mluteus16	g003060		Cell division protein CrgA
mluteus16	g001742	K02990	Binds together with S18 to 16S ribosomal RNA (By similarity)
mluteus16	g001926	K01297	peptidase U61 LD-carboxypeptidase A
mluteus16	g002598	K02888	This protein binds to 23S rRNA in the presence of protein L20 (By similarity)
mluteus16	g002927	K09951	"CRISPR (clustered regularly interspaced short palindromic repeat), is an adaptive immune system that provides protection against mobile genetic elements (viruses, transposable elements and conjugative plasmids). CRISPR clusters contain sequences complementary to antecedent mobile elements and target invading nucleic acids. CRISPR clusters are transcribed and processed into CRISPR RNA (crRNA). Functions as a ssRNA-specific endoribonuclease (By similarity)"
mluteus16	g002163	K02662	Type IV pilus assembly protein PilM
mluteus16	g002231	K03426	Nudix hydrolase
mluteus16	g002862	K06975	Inherit from COG: acetyltransferase
mluteus16	g002052	K00059	reductase
mluteus16	g002519		Protein of unknown function (DUF3499)
mluteus16	g003020	K02610	Phenylacetate-CoA oxygenase paaH subunit
mluteus16	g003577		Lsr2-like protein
